,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
0,Julen Agirrezabala,es ESP,GK,Athletic Club,21-013,2000,4.0,4.0,360.0,5.0,1.25,20.0,15.0,75.0,1.0,2.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.7,0.26,-0.3,-0.08,10.0,31.0,32.3,56.0,10.0,37.5,36.8,26.0,38.5,38.3,35.0,2.0,5.7,5.0,1.25,17.3
1,Alisson,br BRA,GK,Liverpool,29-098,1992,18.0,18.0,1620.0,16.0,0.89,49.0,33.0,67.3,11.0,5.0,2.0,9.0,50.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,1.0,15.4,0.32,0.4,0.02,82.0,152.0,53.9,561.0,94.0,20.7,29.3,83.0,43.4,38.4,127.0,13.0,10.2,26.0,1.44,17.0
2,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-097,1994,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.17,0.3,0.34,6.0,8.0,75.0,26.0,6.0,30.8,30.0,4.0,0.0,9.3,8.0,1.0,12.5,1.0,1.0,18.8
3,Sergio Asenjo,es ESP,GK,Villarreal,32-194,1989,2.0,2.0,180.0,4.0,2.0,7.0,3.0,42.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.9,0.41,-1.1,-0.56,5.0,11.0,45.5,39.0,7.0,17.9,28.3,14.0,28.6,32.5,24.0,1.0,4.2,2.0,1.0,17.1
4,Emil Audero,it ITA,GK,Sampdoria,24-355,1997,19.0,19.0,1710.0,36.0,1.89,93.0,59.0,62.4,5.0,4.0,10.0,3.0,15.8,1.0,1.0,0.0,0.0,19.0,1.0,4.0,1.0,30.4,0.32,-4.6,-0.24,152.0,333.0,45.6,490.0,72.0,47.3,39.7,141.0,71.6,51.0,166.0,14.0,8.4,6.0,0.32,13.6
5,Daniel Bachmann,at AUT,GK,Watford,27-183,1994,10.0,10.0,900.0,23.0,2.3,59.0,39.0,66.1,1.0,0.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0,10.0,1.0,4.0,1.0,19.9,0.3,-2.1,-0.21,76.0,196.0,38.8,232.0,38.0,62.1,47.8,75.0,69.3,51.6,100.0,3.0,3.0,7.0,0.7,13.6
6,Édgar Badía,es ESP,GK,Elche,29-330,1992,7.0,7.0,630.0,12.0,1.71,35.0,26.0,74.3,1.0,3.0,3.0,1.0,14.3,4.0,3.0,1.0,0.0,7.0,0.0,4.0,0.0,13.9,0.3,1.9,0.27,49.0,119.0,41.2,182.0,35.0,46.2,38.0,55.0,63.6,47.7,76.0,6.0,7.9,4.0,0.57,14.7
7,Stefan Bajic,fr FRA,GK,Saint-Étienne,20-016,2001,7.0,4.0,510.0,13.0,2.29,27.0,16.0,59.3,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,5.7,1.0,0.0,0.0,13.3,0.42,0.3,0.06,33.0,86.0,38.4,141.0,39.0,39.7,34.7,44.0,68.2,50.2,52.0,1.0,1.9,9.0,1.59,15.8
8,Oliver Baumann,de GER,GK,Hoffenheim,31-220,1990,16.0,16.0,1440.0,23.0,1.44,72.0,49.0,68.1,7.0,4.0,5.0,5.0,31.3,2.0,0.0,1.0,1.0,16.0,0.0,5.0,0.0,23.8,0.34,0.8,0.05,81.0,233.0,34.8,640.0,82.0,30.9,32.3,105.0,33.3,32.5,128.0,11.0,8.6,23.0,1.44,15.7
9,Asmir Begović,ba BIH,GK,Everton,34-202,1987,1.0,1.0,90.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9,0.31,-1.1,-1.08,5.0,16.0,31.3,11.0,2.0,72.7,50.5,12.0,66.7,49.6,5.0,1.0,20.0,0.0,0.0,15.0
